feature_family,feature,level,focal_count,rest_count,focal_prevalence,rest_prevalence,prevalence_difference,focal_dead_rate,rest_dead_rate,focal_error_rate,rest_error_rate
treatment,radiation_recode,"Radiation, NOS  method or source not specified",9,43,0.004942339373970346,0.0019387709094188196,0.003003568464551526,0.7777777777777778,0.8604651162790697,0.2222222222222222,0.06976744186046512
treatment,radiation_recode,"Recommended, unknown if administered",15,152,0.008237232289950576,0.006853329726317688,0.001383902563632888,0.8666666666666667,0.8881578947368421,0.13333333333333333,0.09210526315789473
treatment,radiation_recode,<RARE n<30>,4,38,0.002196595277320154,0.001713332431579422,0.0004832628457407317,0.75,0.8421052631578947,0.25,0.07894736842105263
treatment,radiation_recode,Refused (1988+),31,515,0.017023613399231193,0.023220163217457956,-0.006196549818226763,0.9032258064516129,0.9553398058252427,0.0,0.04466019417475728
treatment,radiation_recode,None/Unknown,944,13138,0.5183964854475562,0.5923621443708013,-0.07396565892324503,0.7616525423728814,0.8285888263053737,0.149364406779661,0.10823565230628711
treatment,reason_nocancer_directed_surgery,Surgery performed,350,3563,0.19220208676551345,0.16064745930835475,0.0315546274571587,0.4514285714285714,0.5169800729722144,0.32285714285714284,0.2593320235756385
treatment,reason_nocancer_directed_surgery,Not recommended,1323,15735,0.7265238879736409,0.7094548897605844,0.01706899821305652,0.8790627362055934,0.8940578328566889,0.11413454270597127,0.09170638703527169
treatment,reason_nocancer_directed_surgery,"Not performed, patient died prior to recommended surgery",5,48,0.0027457440966501922,0.002164209387258217,0.0005815347093919752,1.0,1.0,0.0,0.0
treatment,reason_nocancer_directed_surgery,"Recommended, unknown if performed",2,40,0.001098297638660077,0.0018035078227151811,-0.0007052101840551042,1.0,0.675,0.0,0.225
treatment,reason_nocancer_directed_surgery,"Recommended but not performed, unknown reason",25,324,0.013728720483250962,0.014608413363992967,-0.000879692880742005,0.84,0.9382716049382716,0.16,0.07098765432098765
treatment,reason_nocancer_directed_surgery,"Recommended but not performed, patient refused",17,435,0.009335529928610654,0.019613147572027593,-0.010277617643416939,0.7647058823529411,0.8298850574712644,0.17647058823529413,0.11494252873563218
treatment,reason_nocancer_directed_surgery,"Not recommended, contraindicated due to other cond; autopsy only (1973-2002)",78,1282,0.042833607907743,0.05780242571802155,-0.014968817810278548,0.7692307692307693,0.84399375975039,0.20512820512820512,0.12090483619344773
treatment,reason_nocancer_directed_surgery,Unknown; death certificate; or autopsy only (2003+),21,752,0.011532125205930808,0.0339059470670454,-0.022373821861114595,1.0,0.9906914893617021,0.0,0.009308510638297872
treatment,rx_summ_scope_reglnsur2003,"Biopsy or aspiration of regional lymph node, NOS",349,3177,0.1916529379461834,0.14324360881915324,0.048409329127030165,0.839541547277937,0.8328611898016998,0.12607449856733524,0.13786591123701605
treatment,rx_summ_scope_reglnsur2003,4 or more regional lymph nodes removed,265,2734,0.1455244371224602,0.12326975968258262,0.022254677439877565,0.41509433962264153,0.4893928310168252,0.3169811320754717,0.2574981711777615
treatment,rx_summ_scope_reglnsur2003,1 to 3 regional lymph nodes removed,44,446,0.02416254805052169,0.02010911222327427,0.004053435827247421,0.6363636363636364,0.600896860986547,0.36363636363636365,0.24887892376681614
treatment,rx_summ_scope_reglnsur2003,Number of regional lymph nodes removed unknown,10,89,0.0054914881933003845,0.004012804905541277,0.001478683287759107,0.5,0.6741573033707865,0.2,0.21348314606741572
treatment,rx_summ_scope_reglnsur2003,<RARE n<30>,2,20,0.001098297638660077,0.0009017539113575906,0.00019654372730248634,0.0,0.7,0.5,0.35
treatment,rx_summ_scope_reglnsur2003,Unknown or not applicable,32,872,0.01757276221856123,0.039316470535190946,-0.021743708316629716,0.9375,0.9541284403669725,0.125,0.033256880733944956
treatment,rx_summ_scope_reglnsur2003,<NA>,1119,14841,0.6144975288303131,0.6691464899229,-0.05464896109258699,0.8731009830205541,0.8974462637288593,0.12153708668453976,0.08779731824001077
treatment,rx_summ_surgothregdis2003,Non-primary surgical procedure to distant site,66,431,0.036243822075782535,0.019432796789756075,0.01681102528602646,0.8333333333333334,0.877030162412993,0.15151515151515152,0.10904872389791183
treatment,rx_summ_surgothregdis2003,Non-primary surgical procedure to distant lymph node(s),12,78,0.006589785831960461,0.003516840254294603,0.0030729455776658584,1.0,0.9102564102564102,0.0,0.08974358974358974
treatment,rx_summ_surgothregdis2003,Non-primary surgical procedure performed,9,63,0.004942339373970346,0.00284052482077641,0.0021018145531939356,0.7777777777777778,0.746031746031746,0.2222222222222222,0.2698412698412698
treatment,rx_summ_surgothregdis2003,Non-primary surgical procedure to other regional sites,9,91,0.004942339373970346,0.004102980296677037,0.0008393590772933085,0.5555555555555556,0.7032967032967034,0.2222222222222222,0.18681318681318682
