seed,metric_schema_version,candidate,metric,raw_value,calibrated_value,calibrated_minus_raw,improved
20260837,2_weighted_f1_primary,nn,brier,0.0887040906736291,0.0886157475445242,-8.834312910489805e-05,True
20260837,2_weighted_f1_primary,nn,log_loss,0.29080007902889177,0.2947447670325398,0.003944688003648056,False
20260837,2_weighted_f1_primary,nn,roc_auc,0.8871457890385069,0.8855656018682574,-0.0015801871702495474,False
20260837,2_weighted_f1_primary,nn,ece,0.010363715355556144,0.002365803006380076,-0.00799791234917607,True
20260837,2_weighted_f1_primary,nn,rms_calibration_error,0.015561674312097108,0.002755558703678049,-0.012806115608419058,True
20260837,2_weighted_f1_primary,nn,max_calibration_error,0.0425896578406294,0.005398310022667552,-0.03719134781796185,True
20260837,2_weighted_f1_primary,nn,official_weighted_f1_at_fixed_rate,0.8703832376578645,0.8691099885189436,-0.0012732491389209066,False
20260837,2_weighted_f1_primary,nn,legacy_dead_class_f1_at_fixed_rate,0.9240298507462686,0.9232835820895522,-0.0007462686567164534,False
20260837,2_weighted_f1_primary,tree80_nn20,brier,0.08356501175945844,0.08358339686076104,1.838510130260096e-05,False
20260837,2_weighted_f1_primary,tree80_nn20,log_loss,0.2736682716498942,0.2737663522655973,9.80806157031e-05,False
20260837,2_weighted_f1_primary,tree80_nn20,roc_auc,0.9014938676273723,0.901339143338058,-0.00015472428931428972,False
20260837,2_weighted_f1_primary,tree80_nn20,ece,0.0033812520342106083,0.004318232316378232,0.0009369802821676235,False
20260837,2_weighted_f1_primary,tree80_nn20,rms_calibration_error,0.004160093401253449,0.004971738170203805,0.0008116447689503559,False
20260837,2_weighted_f1_primary,tree80_nn20,max_calibration_error,0.010110747295069722,0.010742349108731925,0.0006316018136622026,False
20260837,2_weighted_f1_primary,tree80_nn20,official_weighted_f1_at_fixed_rate,0.8784471488710295,0.8779378492154614,-0.0005092996555681184,False
20260837,2_weighted_f1_primary,tree80_nn20,legacy_dead_class_f1_at_fixed_rate,0.9287562189054727,0.9284577114427861,-0.00029850746268655914,False
20260838,2_weighted_f1_primary,nn,brier,0.0887040906736291,0.0885278833621029,-0.0001762073115261914,True
20260838,2_weighted_f1_primary,nn,log_loss,0.29080007902889177,0.2944749197809442,0.003674840752052433,False
20260838,2_weighted_f1_primary,nn,roc_auc,0.8871457890385069,0.8857285453086857,-0.001417243729821216,False
20260838,2_weighted_f1_primary,nn,ece,0.010363715355556144,0.0018341508657505894,-0.008529564489805555,True
20260838,2_weighted_f1_primary,nn,rms_calibration_error,0.015561674312097108,0.0025160903284498323,-0.013045583983647276,True
20260838,2_weighted_f1_primary,nn,max_calibration_error,0.0425896578406294,0.006630902444424103,-0.0359587553962053,True
20260838,2_weighted_f1_primary,nn,official_weighted_f1_at_fixed_rate,0.8703832376578645,0.8697890547263682,-0.0005941829314962677,False
20260838,2_weighted_f1_primary,nn,legacy_dead_class_f1_at_fixed_rate,0.9240298507462686,0.923681592039801,-0.0003482587064675968,False
20260838,2_weighted_f1_primary,tree80_nn20,brier,0.08356501175945844,0.08356788906482694,2.8773053685066108e-06,False
20260838,2_weighted_f1_primary,tree80_nn20,log_loss,0.2736682716498942,0.2737115119495173,4.324029962310405e-05,False
20260838,2_weighted_f1_primary,tree80_nn20,roc_auc,0.9014938676273723,0.9013832166902906,-0.00011065093708162443,False
20260838,2_weighted_f1_primary,tree80_nn20,ece,0.0033812520342106083,0.004140934195815393,0.0007596821616047849,False
20260838,2_weighted_f1_primary,tree80_nn20,rms_calibration_error,0.004160093401253449,0.004933094182627576,0.0007730007813741271,False
20260838,2_weighted_f1_primary,tree80_nn20,max_calibration_error,0.010110747295069722,0.010795864388705834,0.0006851170936361117,False
20260838,2_weighted_f1_primary,tree80_nn20,official_weighted_f1_at_fixed_rate,0.8784471488710295,0.8778529659395331,-0.0005941829314963787,False
20260838,2_weighted_f1_primary,tree80_nn20,legacy_dead_class_f1_at_fixed_rate,0.9287562189054727,0.928407960199005,-0.00034825870646770785,False
20260839,2_weighted_f1_primary,nn,brier,0.0887040906736291,0.0886882029124694,-1.5887761159696923e-05,True
20260839,2_weighted_f1_primary,nn,log_loss,0.29080007902889177,0.2936285973794833,0.002828518350591558,False
20260839,2_weighted_f1_primary,nn,roc_auc,0.8871457890385069,0.8855104302011969,-0.0016353588373100303,False
