dimension,slice,candidate,rows,dead_count,alive_count,actual_dead_rate,global_policy_predicted_dead_rate,global_policy_dead_class_f1,global_policy_weighted_f1,global_policy_dead_f1_gap,global_policy_weighted_f1_gap,within_slice_predicted_dead_rate,within_slice_dead_class_f1,within_slice_weighted_f1,within_minus_global_dead_f1,within_minus_global_weighted_f1,large_enough_for_intervention,weak_by_dead_f1,weak_by_weighted_f1
derived_eod_composite_stage,M0 indeterminate T/N,nested_pseudo90_nn20,932,833,99,0.8937768240343348,0.9184549356223176,0.9532267613972765,0.9102429867730716,0.025813826073893376,0.03408768635209947,0.8454935622317596,0.9302899444787168,0.8882988054868391,-0.022936816918559644,-0.021944181286232434,True,False,False
derived_eod_composite_stage,EOD unavailable (all blank),nested_pseudo90_nn20,11987,10965,1022,0.9147409693834988,0.9386835738716943,0.9563847504163479,0.9130822853134484,0.02897181509296476,0.036926984892476256,0.8449987486443647,0.9282260358395752,0.889525215713583,-0.02815871457677266,-0.023557069599865366,True,False,False
histologic_type_icdo3,8551,frozen_tree,514,150,364,0.2918287937743191,0.14396887159533073,0.5267857142857143,0.7685365902560571,-0.4014232409381663,-0.10897684257976381,0.8443579766536965,0.5068493150684932,0.39673013453728767,-0.019936399217221124,-0.37180645571876947,True,True,True
histologic_type_icdo3,8240,frozen_tree,323,104,219,0.3219814241486068,0.2631578947368421,0.6349206349206349,0.7800808065557981,-0.2932883203032457,-0.0974326262800228,0.8452012383900929,0.5411140583554377,0.416198129715052,-0.0938065765651972,-0.36388267684074616,False,True,True
histologic_type_icdo3,8550,frozen_tree,252,164,88,0.6507936507936508,0.5595238095238095,0.7213114754098361,0.6694727867806375,-0.2068974798140445,-0.20804064605518346,0.8452380952380952,0.7798408488063661,0.6285003499231031,0.05852937339652997,-0.04097243685753438,False,True,True
histologic_type_icdo3,8255,frozen_tree,253,153,100,0.6047430830039525,0.5652173913043478,0.7837837837837838,0.7487854879159226,-0.1444251714400968,-0.12872794491989836,0.8458498023715415,0.8174386920980926,0.6990777906801869,0.03365490831430884,-0.04970769723573565,False,True,True
histologic_type_icdo3,8071,frozen_tree,293,207,86,0.7064846416382252,0.6723549488054608,0.8712871287128713,0.8252048022939787,-0.0569218265110093,-0.052308630541842205,0.8464163822525598,0.865934065934066,0.7686093860806624,-0.0053530627788053176,-0.05659541621331632,False,True,True
histologic_type_icdo3,8140,frozen_tree,8941,7378,1563,0.8251873392238005,0.8482272676434404,0.9173907231653522,0.8578358265716343,-0.010818232058528388,-0.019677606264186687,0.8449837825746561,0.9172972610995781,0.8585456468864571,-9.346206577409699e-05,0.0007098203148228066,True,False,False
histologic_type_icdo3,8046,frozen_tree,1260,1093,167,0.8674603174603175,0.9142857142857143,0.9354120267260579,0.8740879363151078,0.007203071502177361,-0.0034254965207131116,0.8452380952380952,0.9193697868396663,0.8663495704632627,-0.01604223988639164,-0.007738365851845175,True,False,False
histologic_type_icdo3,8070,frozen_tree,3956,3451,505,0.8723458038422649,0.9059656218402427,0.9398720682302771,0.8859766989463275,0.011663113006396553,0.008463266110506518,0.8450455005055612,0.9237562555195761,0.8743434064192314,-0.01611581271070106,-0.011633292527096106,True,False,False
