dimension,slice,candidate,fold_global_policy_dead_class_f1_mean,fold_global_policy_dead_class_f1_std,fold_global_policy_dead_class_f1_min,fold_global_policy_dead_class_f1_max,fold_global_policy_weighted_f1_mean,fold_global_policy_weighted_f1_std,fold_global_policy_weighted_f1_min,fold_global_policy_weighted_f1_max,fold_within_slice_dead_class_f1_mean,fold_within_slice_dead_class_f1_std,fold_within_slice_dead_class_f1_min,fold_within_slice_dead_class_f1_max,fold_within_slice_weighted_f1_mean,fold_within_slice_weighted_f1_std,fold_within_slice_weighted_f1_min,fold_within_slice_weighted_f1_max
age_recode,75-79 years,nested_pseudo90_nn20,0.9292919356677617,0.007562885820016693,0.9167291822955739,0.9355539464156408,0.8780713307520995,0.01299585261285661,0.8583654826862309,0.8922274154286631,0.9294131126655563,0.007853931658572537,0.9169783096484667,0.9372746935832732,0.8798971851271201,0.014041634947973242,0.8574893481530665,0.8936573063971506
age_recode,80-84 years,frozen_tree,0.9498465303352358,0.00803753386078204,0.9420160570918823,0.9612109744560076,0.9081899108469826,0.015471009858263348,0.8927120608526328,0.9292208206990107,0.9378083583084408,0.006158472178071833,0.9289392378990731,0.9452054794520548,0.898972712391146,0.011734471287753347,0.8828292049443971,0.9131341655368025
age_recode,80-84 years,nested_pseudo90,0.9479589633992136,0.008266593548832251,0.9371884346959123,0.9575518262586377,0.9043628440766993,0.01658481785005287,0.8823016528522739,0.9203260813694336,0.9361614463263581,0.005136799760688514,0.9289392378990731,0.9412915851272016,0.8963799986090406,0.009376434568603412,0.8828292049443971,0.9069294630751454
age_recode,80-84 years,nested_pseudo90_nn20,0.9483989899028137,0.007542256734590733,0.9402390438247012,0.9555774925962488,0.9049745053757572,0.01544290710934444,0.8874895735080879,0.9168065392097573,0.9369819591468709,0.004894043400190667,0.9289392378990731,0.9412915851272016,0.8976869583160003,0.009384001072067969,0.8828292049443971,0.9069294630751454
age_recode,85-89 years,frozen_tree,0.9706456813804174,0.006072649371705825,0.9626436781609196,0.9773755656108597,0.9393879406280904,0.010152082644357959,0.9282979991485737,0.9495704636369597,0.9334119603542105,0.0052791992470464805,0.9273021001615509,0.9381598793363499,0.9024963500390573,0.005694748518123519,0.895764020237367,0.9094497526064212
age_recode,85-89 years,nested_pseudo90,0.969519701440467,0.00919941030679895,0.953757225433526,0.9766718506998445,0.9380168976453026,0.014790238084173837,0.9146666666666666,0.9530729613521675,0.9328526887384726,0.005290350874525245,0.92524682651622,0.9393468118195957,0.9016687084100303,0.005992939637835408,0.8916763347564794,0.9074874139657413
age_recode,85-89 years,nested_pseudo90_nn20,0.9713083569569818,0.006349307334919589,0.9611510791366906,0.9766718506998445,0.9407698416604451,0.010818725246670498,0.9261917593198168,0.9530729613521675,0.9333589545455695,0.0025472601740984544,0.9305331179321487,0.9362363919129082,0.9023549355661367,0.0017362231461822075,0.8998517057182546,0.9046839501120223
age_recode,90+ years,frozen_tree,0.9831345033410754,0.008118588950966241,0.969187675070028,0.98989898989899,0.9639626923746315,0.020005063454384884,0.929522411875353,0.9777727772777278,0.927027809593306,0.004323683446262612,0.921832884097035,0.9329073482428115,0.9073185684639535,0.006084196800240408,0.9005021508509145,0.9139059458506498
age_recode,90+ years,nested_pseudo90,0.9820515599474213,0.009116783367056302,0.9662921348314607,0.99,0.9615833679045457,0.0206248765873033,0.9262331352218992,0.9801980198019802,0.927027809593306,0.004323683446262612,0.921832884097035,0.9329073482428115,0.9073185684639535,0.006084196800240408,0.9005021508509145,0.9139059458506498
age_recode,90+ years,nested_pseudo90_nn20,0.9836894774369795,0.008245132467944817,0.9720670391061452,0.9950248756218906,0.9623965309582033,0.01928514671421356,0.9328853993658462,0.9851731441800897,0.927027809593306,0.004323683446262612,0.921832884097035,0.9329073482428115,0.9073185684639535,0.006084196800240408,0.9005021508509145,0.9139059458506498
derived_eod_composite_stage,EOD not applicable (88),frozen_tree,0.8821700706510933,0.020862906324831103,0.8508771929824561,0.9090909090909091,0.8137182055402196,0.040799712482534826,0.7489331436699858,0.8591739310917393,0.8921005329258103,0.021191825368232338,0.8608695652173913,0.9173553719008265,0.8133625029388714,0.036583604818978856,0.76042445607663,0.857461764985276
derived_eod_composite_stage,EOD not applicable (88),nested_pseudo90,0.8724221461876767,0.018091589674789823,0.853448275862069,0.896551724137931,0.7969008121152988,0.04030545319143624,0.7416778308480895,0.8409036860879905,0.8839855433231308,0.02462214262701303,0.8521739130434782,0.9173553719008265,0.7993009152423722,0.04267353513277603,0.7454509845814193,0.857461764985276
derived_eod_composite_stage,EOD not applicable (88),nested_pseudo90_nn20,0.8747601193972155,0.016487849091969375,0.8604651162790697,0.8974358974358975,0.7988728216156908,0.03442996631692954,0.7568732525629077,0.8389794113932045,0.8858109116307127,0.020772305039918153,0.8608695652173913,0.9090909090909091,0.8024427890859661,0.03619533356836087,0.76042445607663,0.8432079414838034
derived_eod_composite_stage,EOD unavailable (all blank),frozen_tree,0.9575449416047628,0.002211674885070702,0.9550763701707098,0.9603624009060022,0.9149386347162981,0.0053066939922711,0.9099515700065266,0.9218402174253548,0.9288855564199527,0.004489170374332777,0.9232591189009948,0.9353846153846154,0.8905418653953567,0.007104552793543863,0.8824225771084312,0.9012837159748679
derived_eod_composite_stage,EOD unavailable (all blank),nested_pseudo90,0.956352709501903,0.0026541555928591932,0.952808988764045,0.9596737652922519,0.9129007990693584,0.006085041482326367,0.9057297019442682,0.9206110596269608,0.9283218508080907,0.0033951373806008246,0.9251539554713406,0.9325443786982248,0.8896730419041041,0.005549157406578939,0.8853257233526676,0.8969445386550816
derived_eod_composite_stage,EOD unavailable (all blank),nested_pseudo90_nn20,0.956210774581822,0.0029165795091436893,0.9534935969445069,0.9595505617977528,0.912692304472486,0.006672808179148123,0.9068366658916195,0.9199409672165907,0.9286031619742208,0.0036604039786228434,0.9246802463287541,0.9339644970414201,0.8901058931050203,0.005923230471481457,0.8845999367916085,0.899114127314975
derived_eod_composite_stage,M0 N0 T0-2 localized,frozen_tree,0.6595172949812225,0.03794260611844054,0.6072423398328691,0.697560975609756,0.7431894166294672,0.018472570473628196,0.715788517695956,0.7596720575022461,0.6549708591972065,0.019355582651623154,0.6330708661417322,0.6814159292035398,0.5109484434841068,0.018548884511980692,0.49134382254464126,0.5386646954139434
derived_eod_composite_stage,M0 N0 T0-2 localized,nested_pseudo90,0.6654898064768606,0.02943529656583019,0.6270270270270271,0.6995073891625616,0.7442275092646012,0.014532084983563865,0.7242589088794652,0.7605598561263586,0.6562297112746591,0.01861929358841665,0.6362204724409449,0.6814159292035398,0.5127246138773781,0.017328965416150543,0.49570996999061,0.5386646954139434
derived_eod_composite_stage,M0 N0 T0-2 localized,nested_pseudo90_nn20,0.6633132809269873,0.03557826838785638,0.6153846153846154,0.6995073891625616,0.743474443615541,0.01740572629022449,0.7189650920341681,0.7605598561263586,0.6568377434506808,0.019935115532416132,0.6362204724409449,0.6814159292035398,0.5136228123064576,0.01889077240020631,0.4940164272256241,0.5386646954139434
derived_eod_composite_stage,M0 N0 T3-4 locally advanced,frozen_tree,0.8277926814100907,0.024649304224225822,0.8064516129032258,0.8590604026845637,0.7805003990493072,0.027324640607720222,0.7482694381802137,0.8204147299682415,0.8382960372980817,0.039342147227956654,0.7733333333333333,0.8651162790697674,0.7301847665009179,0.05593020256542398,0.6395443925233646,0.7695118834653718
derived_eod_composite_stage,M0 N0 T3-4 locally advanced,nested_pseudo90,0.8106706900050356,0.010962365520437455,0.8,0.8289473684210527,0.7556904867704622,0.018675331780206736,0.7371929824561404,0.7758620689655172,0.8356646401122922,0.04528817922295377,0.76,0.8720379146919431,0.7260354353015962,0.06530589979076695,0.618341121495327,0.7792433127158808
derived_eod_composite_stage,M0 N0 T3-4 locally advanced,nested_pseudo90_nn20,0.8154670761378959,0.014146734561941696,0.7933884297520661,0.8289473684210527,0.7635733009008219,0.007788206661052413,0.7557610241820768,0.7758620689655172,0.8356646401122922,0.04528817922295377,0.76,0.8720379146919431,0.7260354353015962,0.06530589979076695,0.618341121495327,0.7792433127158808
derived_eod_composite_stage,M0 N1-3 node-positive,frozen_tree,0.8541967558909593,0.006506314334663071,0.8438133874239351,0.8602150537634409,0.787610321379846,0.007129637979758076,0.7778420593624756,0.7945498263425059,0.8777073979403076,0.008606516489125839,0.8682745825602969,0.8864468864468864,0.7886648918932762,0.014464215007329589,0.7737268233097869,0.803725313811769
derived_eod_composite_stage,M0 N1-3 node-positive,nested_pseudo90,0.8590067395455809,0.011297968502656386,0.842741935483871,0.8737864077669902,0.793062748148272,0.014884046782437961,0.7739272160477094,0.8096077318523286,0.8742450369095964,0.009002920859030787,0.8645640074211502,0.8864468864468864,0.7826791886556215,0.015182225266342619,0.7673529310086542,0.803725313811769
derived_eod_composite_stage,M0 N1-3 node-positive,nested_pseudo90_nn20,0.8593444309898104,0.012579560104397902,0.8404040404040404,0.8704061895551257,0.7933820554301148,0.016789745827483507,0.7713829585049098,0.8145392216172616,0.8722591750281392,0.010720212008301002,0.86,0.8864468864468864,0.7792412245088463,0.01831030705777592,0.7577426153700966,0.803725313811769
derived_eod_composite_stage,M0 indeterminate T/N,frozen_tree,0.9517142538283292,0.007834041930227917,0.9447852760736196,0.9614243323442137,0.9021692156783075,0.015354523683106667,0.8824373650478116,0.9224875575023944,0.9306142027409026,0.014055503521466733,0.9090909090909091,0.9483282674772037,0.8892326280759721,0.023400933823580036,0.8514372778059929,0.9159256044272469
derived_eod_composite_stage,M0 indeterminate T/N,nested_pseudo90,0.9523650477858961,0.009076715151818881,0.9422492401215805,0.9614243323442137,0.9089630322984756,0.01578055711335521,0.8895173323154864,0.9245039682539683,0.9306020522755581,0.011389756927466065,0.9155844155844156,0.9422492401215805,0.8891274833090786,0.019592063896866227,0.8620489008198506,0.9060344990657466
derived_eod_composite_stage,M0 indeterminate T/N,nested_pseudo90_nn20,0.9529016417226988,0.011006276087664382,0.937888198757764,0.96398891966759,0.9094965617145938,0.021006269867043303,0.8772414803505404,0.9287838806329431,0.9293033509768568,0.013671804887012223,0.9090909090909091,0.9422492401215805,0.887005158706307,0.02345301965417682,0.8514372778059929,0.9060344990657466
derived_eod_composite_stage,M1 distant/metastatic,frozen_tree,0.9417586609622705,0.002362052597237652,0.9395833333333333,0.9456740442655935,0.8780580796439086,0.006970663200987035,0.8702275169449496,0.8885451900296547,0.9163688278998313,0.004709196120821417,0.9131622064445658,0.9247083775185578,0.8655415960205094,0.00821097259174556,0.8600999684845869,0.8800478620226405
derived_eod_composite_stage,M1 distant/metastatic,nested_pseudo90,0.9402842795682002,0.0044600403953661515,0.9337506520605112,0.9445564516129032,0.8768164638681546,0.012339129708265043,0.8591778718825951,0.8877857865409245,0.9146226180433346,0.007005496175554224,0.9102632993014508,0.926829268292683,0.8627104750056217,0.012034769098923722,0.8546844833936676,0.8834267954867915
derived_eod_composite_stage,M1 distant/metastatic,nested_pseudo90_nn20,0.9418649205823323,0.0028999349023151647,0.9392207792207792,0.9459868753154972,0.8796259896376217,0.01005918762656725,0.86708668776685,0.8917588897072662,0.9140009486661145,0.006557403999880367,0.9059645351961311,0.9236479321314952,0.8617303923065744,0.011074043746568719,0.8496541345625986,0.8783583952905649
histologic_type_icdo3,8000,frozen_tree,0.98274329226709,0.0047289209060495056,0.976054732041049,0.9873125720876585,0.9615091197546437,0.011489244894339966,0.9437513455757469,0.9731622002034644,0.9263003567842647,0.006705491663542714,0.9173272933182333,0.9349693251533743,0.9032358154624338,0.009241888210598844,0.8886170956222678,0.9101788355519698
histologic_type_icdo3,8000,nested_pseudo90,0.9809355277930768,0.0032785687997282462,0.976054732041049,0.9837962962962963,0.9585639049280157,0.008583096661869731,0.9437513455757469,0.9646365115115114,0.9257809799774638,0.005518029392329274,0.9173272933182333,0.9325153374233128,0.9025259118101177,0.008116407861472292,0.8886170956222678,0.9089464021478422
histologic_type_icdo3,8000,nested_pseudo90_nn20,0.9820483939917175,0.002720890209818661,0.9782857142857143,0.984936268829664,0.9615509409085256,0.006879049515581426,0.9507968602825747,0.967877611098932,0.926271777523476,0.006317916966963847,0.9173272933182333,0.9349693251533743,0.9032129148297006,0.008567826718153624,0.8886170956222678,0.9089720999052611
histologic_type_icdo3,8010,frozen_tree,0.9705285836947347,0.008636323910274272,0.9595687331536388,0.9836956521739131,0.9351091127171054,0.018440681876975163,0.9086988483214898,0.9602798334875117,0.9270454689065675,0.009400087505712754,0.9154518950437318,0.9394812680115274,0.8943154801455087,0.011733101813049972,0.8757196852197234,0.9060219319585314
