dimension,slice,candidate,outer_fold,rows,actual_dead_rate,fold_global_policy_predicted_dead_rate,fold_global_policy_dead_class_f1,fold_global_policy_weighted_f1,fold_within_slice_predicted_dead_rate,fold_within_slice_dead_class_f1,fold_within_slice_weighted_f1
age_recode,70-74 years,frozen_tree,3,841,0.8133174791914387,0.8323424494649228,0.9277456647398844,0.8785891449746631,0.845422116527943,0.9304659498207886,0.8803519523274489
age_recode,70-74 years,frozen_tree,4,857,0.8039673278879813,0.8051341890315052,0.9180565627266135,0.8679957001192752,0.8448074679113186,0.9285208775654635,0.8767547160085747
age_recode,70-74 years,frozen_tree,5,860,0.7976744186046512,0.827906976744186,0.9184549356223176,0.8633227922847212,0.8453488372093023,0.9200283085633404,0.8617369965913817
age_recode,70-74 years,nested_pseudo90,1,818,0.8056234718826406,0.8251833740831296,0.9205397301349325,0.8677600674071552,0.8447432762836186,0.922962962962963,0.8672547808978126
age_recode,70-74 years,nested_pseudo90,2,857,0.8249708284714119,0.8144690781796966,0.9266903914590747,0.881178654330882,0.8448074679113186,0.9308176100628931,0.8816972603048423
age_recode,70-74 years,nested_pseudo90,3,841,0.8133174791914387,0.8323424494649228,0.9291907514450867,0.8810173620751699,0.845422116527943,0.9304659498207886,0.8803519523274489
age_recode,70-74 years,nested_pseudo90,4,857,0.8039673278879813,0.809801633605601,0.918293564714389,0.867387154921788,0.8448074679113186,0.921443736730361,0.8645522126430871
age_recode,70-74 years,nested_pseudo90,5,860,0.7976744186046512,0.827906976744186,0.9141630901287554,0.8561292550365486,0.8453488372093023,0.9186128803963199,0.8592898637876895
age_recode,70-74 years,nested_pseudo90_nn20,1,818,0.8056234718826406,0.8215158924205379,0.9211119459053343,0.8695294222904432,0.8447432762836186,0.9244444444444444,0.8698075735728547
age_recode,70-74 years,nested_pseudo90_nn20,2,857,0.8249708284714119,0.8121353558926487,0.9223093371347113,0.8745628402419601,0.8448074679113186,0.9322152341020266,0.8840872146421183
age_recode,70-74 years,nested_pseudo90_nn20,3,841,0.8133174791914387,0.8299643281807372,0.9276410998552822,0.878921734801046,0.845422116527943,0.9333333333333333,0.8852858924376572
age_recode,70-74 years,nested_pseudo90_nn20,4,857,0.8039673278879813,0.8074679113185531,0.9196234612599565,0.870035664886943,0.8448074679113186,0.924274593064402,0.8694332139892821
age_recode,70-74 years,nested_pseudo90_nn20,5,860,0.7976744186046512,0.8290697674418605,0.9120800571837027,0.8523418860834399,0.8453488372093023,0.9143665958952583,0.8519484653766122
age_recode,75-79 years,frozen_tree,1,822,0.8418491484184915,0.8600973236009732,0.9320943531093638,0.8815098893994813,0.8454987834549879,0.9329488103821196,0.8863233275279885
age_recode,75-79 years,frozen_tree,2,792,0.8396464646464646,0.8497474747474747,0.9357249626307922,0.8899731390981528,0.8446969696969697,0.9340329835082459,0.8881665833749792
age_recode,75-79 years,frozen_tree,3,786,0.8346055979643766,0.8625954198473282,0.9295352323838081,0.8758658710288194,0.8447837150127226,0.9303030303030303,0.8814484356469089
age_recode,75-79 years,frozen_tree,4,805,0.8161490683229814,0.8409937888198757,0.9205397301349325,0.8645391589919327,0.84472049689441,0.9214659685863874,0.865192626631279
age_recode,75-79 years,frozen_tree,5,822,0.8418491484184915,0.8381995133819952,0.9341057204923968,0.8898055595955995,0.8454987834549879,0.9343907714491708,0.8887679871510424
age_recode,75-79 years,nested_pseudo90,1,822,0.8418491484184915,0.8600973236009732,0.9278055754110078,0.8740263034668169,0.8454987834549879,0.9286229271809661,0.8789893486588265
age_recode,75-79 years,nested_pseudo90,2,792,0.8396464646464646,0.8535353535353535,0.9321401938851603,0.8829716643330032,0.8446969696969697,0.9325337331334332,0.8856249148153196
age_recode,75-79 years,nested_pseudo90,3,786,0.8346055979643766,0.8638676844783715,0.9318352059925094,0.8796034138889824,0.8447837150127226,0.9242424242424242,0.8711396039640315
