dimension,slice,candidate,outer_fold,rows,actual_dead_rate,fold_global_policy_predicted_dead_rate,fold_global_policy_dead_class_f1,fold_global_policy_weighted_f1,fold_within_slice_predicted_dead_rate,fold_within_slice_dead_class_f1,fold_within_slice_weighted_f1
age_recode,80-84 years,nested_pseudo90_nn20,3,566,0.8710247349823321,0.9028268551236749,0.9402390438247012,0.8874895735080879,0.8445229681978799,0.9289392378990731,0.8828292049443971
age_recode,80-84 years,nested_pseudo90_nn20,4,586,0.8993174061433447,0.9061433447098977,0.9546313799621928,0.9168065392097573,0.8447098976109215,0.9412915851272016,0.9069294630751454
age_recode,80-84 years,nested_pseudo90_nn20,5,638,0.8652037617554859,0.8981191222570533,0.9404444444444444,0.8886620578933891,0.8448275862068966,0.9367552703941339,0.8950050683101665
age_recode,85-89 years,frozen_tree,1,340,0.9382352941176471,0.9558823529411765,0.9720496894409938,0.9428936792108148,0.8441176470588235,0.9372937293729373,0.9094497526064212
age_recode,85-89 years,frozen_tree,2,365,0.9178082191780822,0.9534246575342465,0.9663250366032211,0.928871332049998,0.8438356164383561,0.9362363919129082,0.9027431787844974
age_recode,85-89 years,frozen_tree,3,375,0.9226666666666666,0.9333333333333333,0.9626436781609196,0.9282979991485737,0.8453333333333334,0.9381598793363499,0.906497737556561
age_recode,85-89 years,frozen_tree,4,398,0.9371859296482412,0.9597989949748744,0.9748344370860927,0.9473062290941058,0.8442211055276382,0.9280677009873061,0.895764020237367
age_recode,85-89 years,frozen_tree,5,345,0.9478260869565217,0.9739130434782609,0.9773755656108597,0.9495704636369597,0.8463768115942029,0.9273021001615509,0.89802706101044
age_recode,85-89 years,nested_pseudo90,1,340,0.9382352941176471,0.9529411764705882,0.9766718506998445,0.9530729613521675,0.8441176470588235,0.933993399339934,0.9046839501120223
age_recode,85-89 years,nested_pseudo90,2,365,0.9178082191780822,0.958904109589041,0.9693430656934306,0.9335066493350666,0.8438356164383561,0.9393468118195957,0.9074874139657413
age_recode,85-89 years,nested_pseudo90,3,375,0.9226666666666666,0.9226666666666666,0.953757225433526,0.9146666666666666,0.8453333333333334,0.9351432880844646,0.9019366515837105
age_recode,85-89 years,nested_pseudo90,4,398,0.9371859296482412,0.9623115577889447,0.9735449735449735,0.9437996862619978,0.8442211055276382,0.92524682651622,0.8916763347564794
age_recode,85-89 years,nested_pseudo90,5,345,0.9478260869565217,0.9681159420289855,0.9742813918305597,0.9450385246106145,0.8463768115942029,0.9305331179321487,0.9025591916321981
age_recode,85-89 years,nested_pseudo90_nn20,1,340,0.9382352941176471,0.9529411764705882,0.9766718506998445,0.9530729613521675,0.8441176470588235,0.933993399339934,0.9046839501120223
age_recode,85-89 years,nested_pseudo90_nn20,2,365,0.9178082191780822,0.958904109589041,0.9693430656934306,0.9335066493350666,0.8438356164383561,0.9362363919129082,0.9027431787844974
age_recode,85-89 years,nested_pseudo90_nn20,3,375,0.9226666666666666,0.9306666666666666,0.9611510791366906,0.9261917593198168,0.8453333333333334,0.9351432880844646,0.9019366515837105
age_recode,85-89 years,nested_pseudo90_nn20,4,398,0.9371859296482412,0.9623115577889447,0.9735449735449735,0.9437996862619978,0.8442211055276382,0.9308885754583921,0.8998517057182546
age_recode,85-89 years,nested_pseudo90_nn20,5,345,0.9478260869565217,0.9710144927536232,0.9758308157099698,0.9472781520331763,0.8463768115942029,0.9305331179321487,0.9025591916321981
age_recode,90+ years,frozen_tree,1,202,0.9752475247524752,0.9851485148514851,0.98989898989899,0.9777727772777278,0.8465346534653465,0.9239130434782609,0.9065444587937054
age_recode,90+ years,frozen_tree,2,195,0.9538461538461539,0.9743589743589743,0.9840425531914894,0.9649988309562778,0.8461538461538461,0.9287749287749287,0.9024764409379794
age_recode,90+ years,frozen_tree,3,202,0.9900990099009901,0.9851485148514851,0.9874686716791979,0.9776917541378197,0.8465346534653465,0.921832884097035,0.9139059458506498
age_recode,90+ years,frozen_tree,4,173,0.9653179190751445,0.9710982658959537,0.9850746268656716,0.9698276876259794,0.8439306358381503,0.9329073482428115,0.9131638458865186
age_recode,90+ years,frozen_tree,5,185,0.9513513513513514,0.9783783783783784,0.969187675070028,0.929522411875353,0.8432432432432433,0.927710843373494,0.9005021508509145
